,game_id,white_player,black_player,winning_player,move_list
40,gZkzGRpj,ruchitoshniwal1,Arpitakabra1,Arpitakabra1,e4 e6 f3 Bb4 c3 Bc5 Nh3 d5 Nf4 Bd6 Nd3 Qe7 e5 Bc5 b4 Qh4+ Nf2 Bxf2+ Ke2 Nc6 f4 Qxf4 Kd3 Qe4#
41,EhbZ2KI0,ruchitoshniwal1,swampdiver,ruchitoshniwal1,e4 c5 Nf3 d6 Bc4 Nc6 d3 e6 O-O Nf6 Nc3 e5 Bg5 Be7 Be3 Bg4 h3 Bh5 Re1 O-O a3 Qb6 b4 cxb4 Bxb6
42,gYX6mUE6,ANONYMOUS,ruchitoshniwal1,ruchitoshniwal1,f4 e5 fxe5 d6 exd6 cxd6 Na3 Nc6 Nb5 a6 Nc3 Be7 Kf2 Nf6 Qe1 O-O Kg3 b5 Qf2 h6 Qf3 Ne4+ Qxe4 Rb8 Qxc6 Bb7 Qxb5 Qc7 Qd3 d5+ Kf3 Qd7 Nxd5 Bxd5+ Ke3 Rfe8 Kf4 Bg5+ Kg3 Qd6+ Kg4 Qf4+ Kh5 g6+ Qxg6+ fxg6+ Kxg6 Re6+ Kh5 Kg7 h4 Be7 Rh3 Qf5#
43,t0f3KMkc,mathijstk,ruchitoshniwal1,mathijstk,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 d6 Nxc6 bxc6 Nc3 Nf6 Bf4 e5 Bg5 Be7 Bc4 O-O O-O Bb7 b3 h6 Bh4 g5 Bg3 c5 h3 Nxe4 Nxe4 Bxe4 Qg4 Bg6 c3 d5 Rad1 d4 Bxe5 Bf6 Bxf6 Qxf6 cxd4 cxd4 Rxd4 Rfd8 Rxd8+ Rxd8 Rd1 Re8 Qd7 Re2 Bxe2
44,MZNFXfug,ruchitoshniwal1,las3ad,las3ad,d3 f5 d4 Nf6 Nf3 d5 Bg5 e6 e3 Be7 c4 c6 Nc3 b6 cxd5 exd5 Bd3 O-O O-O Ne4 Bxe7 Qxe7 Bxe4 dxe4 Ne5 f4 exf4 Rxf4 Re1 c5 Rxe4 Rxe4 Nxe4 cxd4 Qxd4 Bb7 Nd6 Nc6 Nxb7 Nxd4
45,SjXwVJQB,jdsnelle,ruchitoshniwal1,jdsnelle,e4 c5 Nf3 Nc6 c3 c4 d4 cxd3 Qxd3 d6 Be3 Nf6 Nbd2 g6 Be2 Bg7 O-O O-O Nb3 Be6 Nbd4 Nxd4 cxd4 d5 e5 Nd7 Qd2 f6 Bh6 fxe5 Bxg7 Kxg7 Nxe5 Nxe5 dxe5 Qc7 f4 Rad8 Rac1 Qb6+ Kh1 d4 b3 Rc8 Rxc8 Rxc8 h3 Bf5 Bd3 Bxd3 Qxd3 Rc3 Qd2 Qa6 Rd1 Rg3 Qxd4 Qe2 Rg1 Kf7 Qd5+ Kg7 Qxb7 Qxa2 Qxe7+ Kg8 e6 Qxb3 Qf7+ Kh8 Qf8#
46,jraSGUEE,neverlur,ruchitoshniwal1,ruchitoshniwal1,d4 d5 Bf4 Nf6 Nf3 e6 Ne5 c5 c3 Nc6 e3 Bd6 Bb5 Qb6 Nxf7 Kxf7 Bxd6 Qxb5 Na3 Qxb2 Bxc5 Qxc3+ Ke2 b6 Bd6 Ba6+ Kf3 Rad8 Rc1 Qb2 Rxc6 Rxd6 Rxd6 Qxa3 Qb3 Qxb3 axb3 Rc8
47,AOEkwVHQ,ruchitoshniwal1,vishushi,vishushi,d4 e5 Nf3 e4 Ng5 d5 f3 f6
48,YcBhG2pT,JCFER,ruchitoshniwal1,JCFER,e4 c5 Nc3 Nc6 Nf3 d6 a3 Bg4 Bb5 Bxf3 Bxc6+ bxc6 Qxf3
49,LuAKfuFf,ruchitoshniwal1,sergheicovalenco,sergheicovalenco,d4 b6 Nf3 Bb7 Bf4 d6 e3 c5 Bd3 Nd7 dxc5 bxc5 c4 Ngf6 Nc3 h6 e4 g5 e5 dxe5 Bxe5 Nxe5 Nxe5 Nd7 Nxd7 Qxd7 O-O Qc6 Be4 Qc7 Bxb7 Qxb7 Qd2 Bg7 Qe3 O-O
